FID	IID	Pop	PC_code	Region	Country	Type	Period	Language	Latitude	Longitude	Group	Ref	QC
TN201	TN201	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN207	TN207	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN209	TN209	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN213	TN213	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN219	TN219	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	kin
TN223	TN223	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	kin
TN227	TN227	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN229	TN229	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN231	TN231	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN234	TN234	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	kin
TN236	TN236	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	kin
TN301	TN301	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN303	TN303	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN307	TN307	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
TN313	TN313	HtinPray	15	SEA	Thailand	modern	Present	Austroasiatic	19.23	100.52	Khmu_Katu_AA	This_study	PASS
RY112	RY112	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY130	RY130	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY132	RY132	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY136	RY136	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY137	RY137	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY139	RY139	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY141	RY141	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
RY143	RY143	Yuan	21	SEA	Thailand	modern	Present	Tai-Kadai	13.54	99.83	N_TK	This_study	PASS
TL114	TL114	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL116	TL116	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL118	TL118	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL120	TL120	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL128	TL128	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL148	TL148	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL152	TL152	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL160	TL160	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL166	TL166	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	PASS
TL170	TL170	Lue	26	SEA	Thailand	modern	Present	Tai-Kadai	19.09	100.56	N_TK	This_study	kin
CT201	CT201	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT203	CT203	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT205	CT205	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT207	CT207	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	18.12	98.23	C_TK	This_study	PASS
CT209	CT209	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT211	CT211	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT213	CT213	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT215	CT215	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT217	CT217	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT219	CT219	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	99.77	C_TK	This_study	PASS
CT301	CT301	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.74	100.07	C_TK	This_study	PASS
CT303	CT303	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.71	100.07	C_TK	This_study	PASS
CT305	CT305	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.74	100.07	C_TK	This_study	PASS
CT307	CT307	CentralThai	34	SEA	Thailand	modern	Present	Tai-Kadai	13.74	100.07	C_TK	This_study	PASS
